Vehicle Category,Segment,2001-02,2002-03, 2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-2011,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Passenger Vehicles (PVs),Passenger Cars,500301,557410,782562,960487,1046133,1238032,1426212,1516967,1932620,2453113,2775124,2668633,2519281,2595123,2747236,2884790
Passenger Vehicles (PVs),Multi-Utility Vehicles,169418,165920,206998,249389,263167,307202,351371,321626,424791,534183,370945,564928,568692,626296,717809,906750
Total PVs,,669719,723330,989560,1209876,1309300,1545234,1777583,1838593,2357411,2987296,3146069,3233561,3087973,3221419,3465045,3791540
Commercial Vehicles (CVs) - M & HCVs,Passenger Carriers,20283,21156,27628,30419,28982,32828,46542,40995,46026,54552,54156,50024,41175,49365,54217,49568
Commercial Vehicles (CVs) - M & HCVs,Goods Carriers,76469,99346,138495,184388,190313,261438,248415,151288,204145,289990,330645,228536,180381,219193,287070,293165
,Total M & HCVs,96752,120502,166123,214807,219295,294266,294957,192283,250171,344542,384801,278560,221556,268558,341287,342733
Commercial Vehicles (CVs) - LCVs,Passenger Carriers,14977,19821,20962,22619,25395,29443,33882,28635,34751,38008,50017,51376,45136,46585,50654,50652
Commercial Vehicles (CVs) - LCVs,Goods Carriers,50779,63374,87955,116277,146393,196291,220167,195952,281686,370185,494318,501808,432343,383155,394760,416901
,Total LCVs,65756,83195,108917,138896,171788,225734,254049,224587,316437,408193,544335,553184,477479,429740,445405,467553
Total CVs,,162508,203697,275040,353703,391083,520000,549006,416870,566608,752735,929136,831744,699035,698298,786692,810286
Three Wheelers,Passenger Carriers,170013,210454,245084,237413,286987,385443,371060,417434,530203,698811,768687,740689,733244,845372,834253,670978
Three Wheelers,Goods Carriers,42735,66265,111139,137032,147436,170681,129600,79586,88890,100742,110602,99053,96864,103647,99851,112171
Total Three Wheelers,,212748,276719,356223,374445,434423,556124,500660,497020,619093,799553,879289,839742,830108,949019,934104,783149
Two wheelers,Scooter/Scooterettee,937506,848434,935279,987498,1021013,943974,1074933,1161276,1494409,2144765,2659340,3025014,3676213,4722747,5276138,5926379
Two wheelers,Motorcycles/Step-Throughs,2906323,3876175,4355168,5193894,6207690,7112225,6503532,6798118,8444857,10527111,11982669,11904212,12474626,13011219,12816203,13084074
Two wheelers,Mopeds,427498,351612,332294,348437,379994,379987,430827,436219,571070,704575,785523,791954,732210,755345,737886,919032
Two wheelers,Electric Two Wheelers,-,-,-,-,-,30454,17389,24179,2567,-,-,-,-,-,-,
Total Two wheelers,,4271327,5076221,5622741,6529829,7608697,8466640,8026681,8419792,10512903,13376451,15427532,15721180,16883049,18489311,18830227,19929485
Grand Total,,5316302,6279967,7243564,8467853,9743503,11087998,10853930,11172275,14056015,17916035,20382026,20626227,21500165,23358047,24016068,25314460
